timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;134.41;0;26129071#3_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;-1.658251;42.807485
0.10;134.41;0;26129071#3_0;5.13;0.00;0.26;DEFAULT_VEHTYPE;-1.658250;42.807485
0.20;134.41;0;26129071#3_0;5.18;0.00;0.51;DEFAULT_VEHTYPE;-1.658250;42.807485
0.30;134.41;0;26129071#3_0;5.25;0.00;0.77;DEFAULT_VEHTYPE;-1.658249;42.807484
0.40;134.41;0;26129071#3_0;5.36;0.00;1.01;DEFAULT_VEHTYPE;-1.658248;42.807484
0.50;134.41;0;26129071#3_0;5.48;0.00;1.26;DEFAULT_VEHTYPE;-1.658247;42.807483
0.60;134.41;0;26129071#3_0;5.63;0.00;1.48;DEFAULT_VEHTYPE;-1.658246;42.807482
0.70;134.41;0;26129071#3_0;5.79;0.00;1.65;DEFAULT_VEHTYPE;-1.658245;42.807481
0.80;134.41;0;26129071#3_0;5.98;0.00;1.85;DEFAULT_VEHTYPE;-1.658243;42.807480
0.90;134.41;0;26129071#3_0;6.18;0.00;2.01;DEFAULT_VEHTYPE;-1.658241;42.807478
1.00;134.41;0;26129071#3_0;6.40;0.00;2.23;DEFAULT_VEHTYPE;-1.658239;42.807477
1.00;161.02;1;163498800#1_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;-1.646038;42.813624
1.10;134.41;0;26129071#3_0;6.65;0.00;2.46;DEFAULT_VEHTYPE;-1.658237;42.807475
1.10;161.02;1;163498800#1_0;5.13;0.00;0.26;DEFAULT_VEHTYPE;-1.646038;42.813623
1.20;134.41;0;26129071#3_0;6.92;0.00;2.67;DEFAULT_VEHTYPE;-1.658235;42.807474
1.20;161.02;1;163498800#1_0;5.18;0.00;0.51;DEFAULT_VEHTYPE;-1.646038;42.813623
1.30;134.41;0;26129071#3_0;7.20;0.00;2.88;DEFAULT_VEHTYPE;-1.658232;42.807472
1.30;161.02;1;163498800#1_0;5.25;0.00;0.74;DEFAULT_VEHTYPE;-1.646037;42.813622
1.40;134.41;0;26129071#3_0;7.51;0.00;3.05;DEFAULT_VEHTYPE;-1.658230;42.807470
1.40;161.02;1;163498800#1_0;5.35;0.00;0.95;DEFAULT_VEHTYPE;-1.646037;42.813622
1.50;134.41;0;26129071#3_0;7.83;0.00;3.23;DEFAULT_VEHTYPE;-1.658227;42.807468
1.50;161.02;1;163498800#1_0;5.46;0.00;1.16;DEFAULT_VEHTYPE;-1.646037;42.813621
1.60;134.41;0;26129071#3_0;8.17;0.00;3.39;DEFAULT_VEHTYPE;-1.658224;42.807466
1.60;161.02;1;163498800#1_0;5.60;0.00;1.35;DEFAULT_VEHTYPE;-1.646036;42.813619
1.70;134.41;0;26129071#3_0;8.53;0.00;3.65;DEFAULT_VEHTYPE;-1.658221;42.807463
1.70;161.02;1;163498800#1_0;5.76;0.00;1.59;DEFAULT_VEHTYPE;-1.646035;42.813618
1.80;134.41;0;26129071#3_0;8.92;0.00;3.86;DEFAULT_VEHTYPE;-1.658218;42.807461
1.80;161.02;1;163498800#1_0;5.94;0.00;1.80;DEFAULT_VEHTYPE;-1.646035;42.813617
1.90;134.41;0;26129071#3_0;9.32;0.00;4.01;DEFAULT_VEHTYPE;-1.658214;42.807458
1.90;161.02;1;163498800#1_0;6.14;0.00;2.01;DEFAULT_VEHTYPE;-1.646034;42.813615
2.00;134.41;0;26129071#3_0;9.75;0.00;4.27;DEFAULT_VEHTYPE;-1.658211;42.807455
2.00;161.02;1;163498800#1_0;6.36;0.00;2.22;DEFAULT_VEHTYPE;-1.646033;42.813613
2.00;309.95;2;27710535#1_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;-1.656144;42.807584
2.10;134.41;0;26129071#3_0;10.19;0.00;4.46;DEFAULT_VEHTYPE;-1.658207;42.807453
2.10;161.02;1;163498800#1_0;6.60;0.00;2.39;DEFAULT_VEHTYPE;-1.646032;42.813611
2.10;309.95;2;27710535#1_0;5.13;0.00;0.26;DEFAULT_VEHTYPE;-1.656144;42.807584
2.20;134.41;0;26129071#3_0;10.66;0.00;4.66;DEFAULT_VEHTYPE;-1.658203;42.807450
